--- Starting Traffic Monitoring ---
Time: 0s | Active Traffic Workers: 1
Time: 2s | Active Traffic Workers: 2
Time: 4s | Active Traffic Workers: 4
Time: 6s | Active Traffic Workers: 6
Time: 8s | Active Traffic Workers: 8
Time: 10s | Active Traffic Workers: 10
Time: 12s | Active Traffic Workers: 12
Time: 14s | Active Traffic Workers: 14
Time: 16s | Active Traffic Workers: 16
Time: 18s | Active Traffic Workers: 18
Time: 20s | Active Traffic Workers: 20
Time: 22s | Active Traffic Workers: 21
Time: 24s | Active Traffic Workers: 23
Time: 26s | Active Traffic Workers: 25
Time: 28s | Active Traffic Workers: 26
Time: 30s | Active Traffic Workers: 28
Time: 32s | Active Traffic Workers: 29
Time: 34s | Active Traffic Workers: 31
Time: 36s | Active Traffic Workers: 32
Time: 38s | Active Traffic Workers: 33
Time: 40s | Active Traffic Workers: 34
Time: 42s | Active Traffic Workers: 35
Time: 44s | Active Traffic Workers: 36
Time: 46s | Active Traffic Workers: 37
Time: 48s | Active Traffic Workers: 38
Time: 50s | Active Traffic Workers: 38
Time: 52s | Active Traffic Workers: 39
Time: 54s | Active Traffic Workers: 39
Time: 56s | Active Traffic Workers: 39
Time: 58s | Active Traffic Workers: 39
Time: 60s | Active Traffic Workers: 39
Time: 62s | Active Traffic Workers: 39
Time: 64s | Active Traffic Workers: 39
Time: 66s | Active Traffic Workers: 39
Time: 68s | Active Traffic Workers: 39
Time: 70s | Active Traffic Workers: 38
Time: 72s | Active Traffic Workers: 38
Time: 74s | Active Traffic Workers: 37
Time: 76s | Active Traffic Workers: 36
Time: 78s | Active Traffic Workers: 35
Time: 80s | Active Traffic Workers: 34
Time: 82s | Active Traffic Workers: 33
Time: 84s | Active Traffic Workers: 32
Time: 86s | Active Traffic Workers: 30
Time: 88s | Active Traffic Workers: 29
Time: 90s | Active Traffic Workers: 28
Time: 92s | Active Traffic Workers: 26
Time: 94s | Active Traffic Workers: 25
Time: 96s | Active Traffic Workers: 23
Time: 98s | Active Traffic Workers: 21
Time: 100s | Active Traffic Workers: 19
Time: 102s | Active Traffic Workers: 18
Time: 104s | Active Traffic Workers: 16
Time: 106s | Active Traffic Workers: 14
Time: 108s | Active Traffic Workers: 12
Time: 110s | Active Traffic Workers: 10
Time: 112s | Active Traffic Workers: 8
Time: 114s | Active Traffic Workers: 6
Time: 116s | Active Traffic Workers: 4
Time: 118s | Active Traffic Workers: 1
--- Monitoring Ended ---
